execution,arm,workload,slo_class,n,ttft_mean,ttft_p50,ttft_p95,ttft_p99,tpot_mean,tpot_p50,tpot_p95,tpot_p99,e2e_mean,e2e_p50,e2e_p95,e2e_p99
results.1,quarticceiling,balanced_5,critical,1135.0,94.37901938325992,88.426,147.2026,174.9652800000003,18.398007896263668,18.23956652360515,20.59343457440294,21.238714499943928,4760.623227312775,4784.333,6566.9021999999995,7468.024260000001
results.1,quarticceiling,balanced_5,sheddable,1165.0,95.7607364806867,88.511,148.10039999999998,196.04703999999998,18.398087014425236,18.23714479638009,20.605136208125444,21.307898994553835,4768.599812017167,4762.655,6774.3194,7601.398759999999
results.1,quarticceiling,balanced_8,critical,1877.0,119.87464198188599,107.017,203.8748,258.675,24.186222495198056,23.638355140186917,30.791453015495854,33.12382820289856,6289.521834842834,6225.386,9199.653799999996,10892.21084
results.1,quarticceiling,balanced_8,sheddable,1923.0,121.38540197607904,109.837,203.13779999999997,278.98443999999995,24.2409536041741,23.564606918238994,31.32810971698113,34.582531086687084,6263.574612064483,6215.272,9304.971199999998,10830.42052
results.2,constantcontrol,balanced_10,critical,2384.0,153.50261073825502,136.74,279.3742,383.28184000000005,32.62441208512928,31.749303745583042,45.99969691192266,49.77981995080783,8484.600322986576,8286.3295,13006.181299999997,15345.276130000002
results.2,constantcontrol,balanced_10,sheddable,2416.0,155.05914362582783,140.36849999999998,273.3775,378.1071499999998,32.60826236984223,31.497012838493905,46.02327727876865,49.886054937583424,8424.029548841057,8181.267,13181.414499999999,15693.032599999999
results.2,constantcontrol,balanced_15,critical,3633.0,11111.331692540602,10781.654,19701.5814,23157.89212,71.72645098029834,71.61805919003116,80.2346936315626,86.87980692683733,29387.57859344894,29125.32,40702.178799999994,45674.37095999999
results.2,constantcontrol,balanced_15,sheddable,3667.0,90500.16868939187,103900.329,154262.0878,155993.66984,66.70837962479305,68.11688687782807,75.16423465975858,79.5946218719807,107555.70876656668,114115.907,172578.36419999998,178004.26450000002
results.2,constantcontrol,balanced_5,critical,1135.0,95.87711982378853,89.734,150.1924,176.65286000000003,18.479576524366834,18.393151515151516,20.712278814313525,21.473002877728963,4783.12643876652,4789.838,6582.1192,7505.872400000004
results.2,constantcontrol,balanced_5,sheddable,1165.0,97.03394592274678,89.435,151.19919999999996,201.5473999999993,18.47551513249064,18.353506024096387,20.674599094945357,21.541085835616435,4788.982020600859,4770.413,6811.316,7659.0651199999975
results.2,constantcontrol,balanced_8,critical,1877.0,117.31320777836974,105.534,196.61619999999976,248.303,23.981575747622287,23.447018450184505,30.225803822270446,32.62371161451815,6235.140469898775,6178.647,9126.789599999998,10689.394160000002
results.2,constantcontrol,balanced_8,sheddable,1923.0,118.80676131045242,107.309,200.1173,267.48278,24.041522284356155,23.353174796747968,30.803786803530876,34.138362910277074,6211.185348933956,6156.65,9180.876199999999,10703.45172
results.2,quartic,balanced_10,critical,2384.0,190.01763422818794,139.478,366.00419999999986,1408.74456,32.65921513595363,31.854412440677965,45.77548931488202,49.579709848484846,8531.634055369128,8337.9045,13213.926549999998,15359.346270000004
results.2,quartic,balanced_10,sheddable,2416.0,187.9659395695364,143.8165,363.43975,1220.664449999996,32.6220389426676,31.560408357075023,45.73915602893891,49.68122297163384,8462.20344660596,8219.419000000002,13219.221749999999,15711.365999999995
results.2,quartic,balanced_15,critical,3633.0,11692.453180016515,11277.8,21656.57399999999,26466.942999999996,71.90425591907655,72.02443103448276,80.32859774353452,85.50596783413077,30020.38989430223,29778.167,42482.84519999998,48033.257879999976
results.2,quartic,balanced_15,sheddable,3666.0,93563.75151936716,106399.118,160855.03375,164343.99035,66.72683456930056,68.13431152150784,74.76545533314132,77.45847434274584,110602.7686333879,118022.5985,179062.72625,185381.28525000002
results.2,quartic,balanced_5,critical,1135.0,94.1152255506608,87.81,146.0426,171.18406000000016,18.31372350533988,18.223257950530034,20.42897014844804,21.062334760007776,4738.910727753304,4754.967,6523.896299999999,7459.7338400000035
results.2,quartic,balanced_5,sheddable,1165.0,95.36398197424892,87.524,150.15959999999998,192.3973599999998,18.31062045710119,18.20700371747212,20.438765973881633,21.072508528904063,4745.7182738197425,4725.957,6735.4288,7599.442639999999
results.2,quartic,balanced_8,critical,1877.0,117.29207032498667,105.086,194.969,246.46016000000003,23.857583991115703,23.340153284671533,30.06697935198356,32.472593143815665,6203.6837208311135,6126.641,9065.613599999999,10674.21056
results.2,quartic,balanced_8,sheddable,1923.0,119.85538325533021,107.879,202.9717999999999,267.93082,23.90807614219129,23.24877697841727,30.620794742156143,33.975660004439455,6178.3148824753,6128.77,9128.854,10689.22542
